huc12_id,year,pscutot_mgd
050302020701,2010,0.004439626
050302020701,2011,0.003766883
050302020701,2012,0.004124497
050302020701,2013,0.003219232
050302020701,2014,0.003307472
050302020701,2015,0.001113548
050302020701,2016,0.001296075
050302020701,2017,0.001257031
050302020701,2018,0.003377675
050302020701,2019,0.001239738
050302020701,2020,0.003923439
050302020702,2010,0.0
050302020702,2011,0.0
050302020702,2012,0.0
050302020702,2013,0.0
050302020702,2014,0.0
050302020702,2015,0.0
050302020702,2016,0.0
050302020702,2017,0.0
050302020702,2018,0.0
050302020702,2019,0.0
050302020702,2020,0.0
050302020703,2010,0.0
050302020703,2011,0.0
050302020703,2012,0.0
050302020703,2013,0.0
050302020703,2014,0.0
050302020703,2015,0.0
050302020703,2016,0.0
050302020703,2017,0.0
050302020703,2018,0.0
050302020703,2019,0.0
050302020703,2020,0.0
050302020704,2010,0.010640532
050302020704,2011,0.010152989
050302020704,2012,0.012279794
050302020704,2013,0.011194696
050302020704,2014,0.01089892
050302020704,2015,0.009757223
050302020704,2016,0.010715463
050302020704,2017,0.010153922
050302020704,2018,0.009594711
050302020704,2019,0.010177017
050302020704,2020,0.00979042
050302020705,2010,0.001664493
050302020705,2011,0.001433268
050302020705,2012,0.001559367
050302020705,2013,0.001573615
050302020705,2014,0.00161687
050302020705,2015,0.001575805
050302020705,2016,0.001588972
050302020705,2017,0.001528729
050302020705,2018,0.00120012
050302020705,2019,0.001329223
050302020705,2020,0.001024439
050302020706,2010,0.001860064
050302020706,2011,0.001871137
050302020706,2012,0.002185201
050302020706,2013,0.001987961
050302020706,2014,0.001889948
050302020706,2015,0.002278282
050302020706,2016,0.002575716
050302020706,2017,0.002454997
050302020706,2018,0.001502518
050302020706,2019,0.00162305
050302020706,2020,0.001522826
050302020802,2010,0.050258814
050302020802,2011,0.053231142
050302020802,2012,0.062601336
050302020802,2013,0.057546257
050302020802,2014,0.055593898
050302020802,2015,0.05336348
050302020802,2016,0.05469711
050302020802,2017,0.053454819
050302020802,2018,0.048220077
050302020802,2019,0.050466133
050302020802,2020,0.047639562
050302020803,2010,0.006375824
050302020803,2011,0.006752893
050302020803,2012,0.007941595
050302020803,2013,0.007300308
050302020803,2014,0.007052632
050302020803,2015,0.006769682
050302020803,2016,0.006938866
050302020803,2017,0.006781269
050302020803,2018,0.006117191
050302020803,2019,0.006402125
050302020803,2020,0.006043547
050302020804,2010,0.000322095
050302020804,2011,0.000330724
050302020804,2012,0.000385162
050302020804,2013,0.000354285
050302020804,2014,0.000295049
050302020804,2015,0.000356413
050302020804,2016,0.000378641
050302020804,2017,0.000377582
050302020804,2018,0.000243995
050302020804,2019,0.000297215
050302020804,2020,0.000272579
050302020805,2010,0.16397443
050302020805,2011,0.15867508
050302020805,2012,0.181193269
050302020805,2013,0.169206349
050302020805,2014,0.167838213
050302020805,2015,0.177390131
050302020805,2016,0.19731591
050302020805,2017,0.191967699
050302020805,2018,0.142162542
050302020805,2019,0.155054328
050302020805,2020,0.138514721
050302020901,2010,0.0
050302020901,2011,0.0
050302020901,2012,0.0
050302020901,2013,0.0
050302020901,2014,0.0
050302020901,2015,0.0
050302020901,2016,0.0
050302020901,2017,0.0
050302020901,2018,0.0
050302020901,2019,0.0
050302020901,2020,0.0
050302020902,2010,0.0
050302020902,2011,0.0
050302020902,2012,0.0
050302020902,2013,0.0
050302020902,2014,0.0
050302020902,2015,0.0
050302020902,2016,0.0
050302020902,2017,0.0
050302020902,2018,0.0
