huc12_id,year,pscutot_mgd
050800010403,2010,0.00079699
050800010403,2011,0.00073631
050800010403,2012,0.000896624
050800010403,2013,0.000822069
050800010403,2014,0.000738598
050800010403,2015,0.000784006
050800010403,2016,0.000798652
050800010403,2017,0.00079037
050800010403,2018,0.000686717
050800010403,2019,0.000659001
050800010403,2020,0.000595054
050800010404,2010,0.0
050800010404,2011,0.0
050800010404,2012,0.0
050800010404,2013,0.0
050800010404,2014,0.0
050800010404,2015,0.0
050800010404,2016,0.0
050800010404,2017,0.0
050800010404,2018,0.0
050800010404,2019,0.0
050800010404,2020,0.0
050800010405,2010,0.016949894
050800010405,2011,0.015898855
050800010405,2012,0.019752652
050800010405,2013,0.01756064
050800010405,2014,0.01698811
050800010405,2015,0.01500645
050800010405,2016,0.015399571
050800010405,2017,0.015510905
050800010405,2018,0.015427879
050800010405,2019,0.015660779
050800010405,2020,0.014902671
050800010406,2010,0.011648022
050800010406,2011,0.010905481
050800010406,2012,0.013799211
050800010406,2013,0.013499806
050800010406,2014,0.012517107
050800010406,2015,0.012227591
050800010406,2016,0.012668746
050800010406,2017,0.012224587
050800010406,2018,0.011198356
050800010406,2019,0.011143004
050800010406,2020,0.010547436
050800010501,2010,0.030239992
050800010501,2011,0.029742024
050800010501,2012,0.038611831
050800010501,2013,0.033480563
050800010501,2014,0.032967154
050800010501,2015,0.031405883
050800010501,2016,0.033186182
050800010501,2017,0.032645965
050800010501,2018,0.027423587
050800010501,2019,0.030769451
050800010501,2020,0.026136511
050800010502,2010,0.0
050800010502,2011,0.0
050800010502,2012,0.0
050800010502,2013,0.0
050800010502,2014,0.0
050800010502,2015,0.0
050800010502,2016,0.0
050800010502,2017,0.0
050800010502,2018,0.0
050800010502,2019,0.0
050800010502,2020,0.0
050800010503,2010,0.059369548
050800010503,2011,0.057273445
050800010503,2012,0.074704338
050800010503,2013,0.063360631
050800010503,2014,0.05183956
050800010503,2015,0.038294041
050800010503,2016,0.042345216
050800010503,2017,0.041949789
050800010503,2018,0.055091997
050800010503,2019,0.05711018
050800010503,2020,0.059260744
050800010601,2010,0.008335266
050800010601,2011,0.008051303
050800010601,2012,0.009384734
050800010601,2013,0.007891544
050800010601,2014,0.007684199
050800010601,2015,0.007758968
050800010601,2016,0.008567668
050800010601,2017,0.008254346
050800010601,2018,0.007524866
050800010601,2019,0.007826622
050800010601,2020,0.007277556
050800010602,2010,0.005769988
050800010602,2011,0.005846195
050800010602,2012,0.007719879
050800010602,2013,0.006599724
050800010602,2014,0.006274001
050800010602,2015,0.006934824
050800010602,2016,0.007389763
050800010602,2017,0.00734924
050800010602,2018,0.005891826
050800010602,2019,0.006122858
050800010602,2020,0.006262687
050800010603,2010,0.002241471
050800010603,2011,0.002099903
050800010603,2012,0.002606867
050800010603,2013,0.002318239
050800010603,2014,0.00224226
050800010603,2015,0.00197494
050800010603,2016,0.002024727
050800010603,2017,0.002040225
050800010603,2018,0.002039574
050800010603,2019,0.002063043
050800010603,2020,0.001971695
050800010604,2010,0.007048182
050800010604,2011,0.006603029
050800010604,2012,0.008197149
050800010604,2013,0.007289573
050800010604,2014,0.007050662
050800010604,2015,0.006210089
050800010604,2016,0.006366641
050800010604,2017,0.006415373
050800010604,2018,0.006413327
050800010604,2019,0.006487123
050800010604,2020,0.006199886
050800010701,2010,0.0
050800010701,2011,0.0
050800010701,2012,0.0
050800010701,2013,0.0
050800010701,2014,0.0
050800010701,2015,0.0
050800010701,2016,0.0
050800010701,2017,0.0
050800010701,2018,0.0
050800010701,2019,0.0
050800010701,2020,0.0
050800010702,2010,0.004283701
050800010702,2011,0.004013149
050800010702,2012,0.004982013
050800010702,2013,0.004430412
050800010702,2014,0.004285208
050800010702,2015,0.00377433
050800010702,2016,0.003869478
050800010702,2017,0.003899096
050800010702,2018,0.003897853
050800010702,2019,0.003942704
050800010702,2020,0.003768129
050800010703,2010,0.193513695
050800010703,2011,0.181291656
050800010703,2012,0.225059526
050800010703,2013,0.200141287
050800010703,2014,0.193581794
050800010703,2015,0.17050315
050800010703,2016,0.174801423
