huc12_id,year,incrunoff_mm/mo,incbsflow_mm/mo,soilmstfr_frac
020401010305,2010,61.077110324,18.969454187,0.75300948
020401010305,2011,89.740469552,20.694704576,0.779469511
020401010305,2012,41.384560254,18.767529358,0.749555702
020401010305,2013,41.713842933,18.078224453,0.767535476
020401010305,2014,59.190391204,19.09382924,0.785634597
020401010305,2015,38.790709604,16.506464889,0.739226729
020401010305,2016,45.220615776,18.936549919,0.764091892
020401010305,2017,59.754509103,19.874568503,0.785062158
020401010305,2018,75.97852393,20.337003572,0.773206016
020401010305,2019,69.652056942,19.947080694,0.762292317
020401010307,2010,60.516736981,16.205403301,0.761851987
020401010307,2011,91.540778392,18.796621318,0.782844895
020401010307,2012,33.599722852,15.473584607,0.739092539
020401010307,2013,39.008951416,14.240193812,0.745005589
020401010307,2014,56.070874453,14.973705359,0.76540532
020401010307,2015,34.833254464,13.250786053,0.731245945
020401010307,2016,45.508307179,15.807112186,0.757845998
020401010307,2017,56.727073216,18.291134144,0.783876993
020401010307,2018,75.830111392,18.621030279,0.77038706
020401010307,2019,69.258915577,19.42978457,0.77021744
020401010401,2010,53.336131892,11.650442649,0.728995932
020401010401,2011,72.889667233,13.416876102,0.742898814
020401010401,2012,30.496680653,10.871190645,0.709421121
020401010401,2013,33.606671065,10.51625066,0.704512614
020401010401,2014,55.113421319,11.546964178,0.752132603
020401010401,2015,28.3648362,9.219866095,0.677724159
020401010401,2016,38.797162364,10.978591192,0.718378996
020401010401,2017,47.272140157,11.677048899,0.736183816
020401010401,2018,66.400719999,12.700161649,0.749893327
020401010401,2019,57.345329296,12.738574713,0.725457138
020401010402,2010,48.606816348,11.077031854,0.732118792
020401010402,2011,66.553379416,12.586304753,0.742841934
020401010402,2012,29.06888469,10.358380688,0.711026568
020401010402,2013,29.782013155,9.930181272,0.704861085
020401010402,2014,52.155119595,11.07215319,0.753173922
020401010402,2015,27.564756259,8.814948473,0.678940041
020401010402,2016,35.565692513,10.304665741,0.720190938
020401010402,2017,42.802695938,10.804117028,0.735046084
020401010402,2018,66.126058885,12.169921168,0.754369711
020401010402,2019,53.052413463,12.035835238,0.725513526
020401010403,2010,52.166755015,16.721055591,0.763098518
020401010403,2011,77.453871946,22.193663483,0.785138725
020401010403,2012,30.526726542,13.180415651,0.728321294
020401010403,2013,31.326584703,12.851972614,0.710237736
020401010403,2014,54.099567865,16.335284377,0.752438067
020401010403,2015,32.910332355,14.188683527,0.705765944
020401010403,2016,40.217407305,14.430729984,0.736848048
020401010403,2017,48.171067701,18.100504144,0.773497115
020401010403,2018,67.768511172,20.395859297,0.783896515
020401010403,2019,60.471492479,22.198022122,0.755343259
020401010405,2010,58.771107821,16.356528377,0.746732577
020401010405,2011,70.398999339,21.778840371,0.711982921
020401010405,2012,42.128388865,13.665539128,0.710048838
020401010405,2013,40.068931666,14.736059272,0.698586242
020401010405,2014,63.871657368,20.000837898,0.730679142
020401010405,2015,40.220873668,16.250725174,0.686679684
020401010405,2016,47.498966262,15.779878479,0.700035028
020401010405,2017,52.588140538,19.455402407,0.716657775
020401010405,2018,82.779478637,20.081286967,0.762871228
020401010405,2019,69.657223168,24.923969546,0.729783379
020401010406,2010,52.787531592,14.874570234,0.726199448
020401010406,2011,73.946929392,21.315633871,0.738646186
020401010406,2012,36.680881862,12.28241529,0.712785709
020401010406,2013,33.621866241,12.868860622,0.691703237
020401010406,2014,58.608128319,17.546946828,0.742639884
020401010406,2015,33.962369054,14.088252777,0.68631857
020401010406,2016,41.596276063,13.544871281,0.703197804
020401010406,2017,48.808931358,17.647990029,0.730279727
020401010406,2018,73.615288932,19.728195127,0.743824996
020401010406,2019,61.457357468,22.878297124,0.724622436
020401010501,2010,53.543973987,15.390258964,0.732321584
