huc12_id,year,pscutot_mgd
020502061004,2010,0.0
020502061004,2011,0.0
020502061004,2012,0.0
020502061004,2013,0.0
020502061004,2014,0.0
020502061004,2015,0.0
020502061004,2016,0.0
020502061004,2017,0.0
020502061004,2018,0.0
020502061004,2019,0.0
020502061004,2020,0.0
020502061005,2010,0.046648404
020502061005,2011,0.041917361
020502061005,2012,0.047254986
020502061005,2013,0.04581481
020502061005,2014,0.043835519
020502061005,2015,0.042479659
020502061005,2016,0.044991141
020502061005,2017,0.040345645
020502061005,2018,0.035955532
020502061005,2019,0.041421498
020502061005,2020,0.04115923
020502061101,2010,0.0
020502061101,2011,0.0
020502061101,2012,0.0
020502061101,2013,0.0
020502061101,2014,0.0
020502061101,2015,0.0
020502061101,2016,0.0
020502061101,2017,0.0
020502061101,2018,0.0
020502061101,2019,0.0
020502061101,2020,0.0
020502061102,2010,0.001740167
020502061102,2011,0.001506778
020502061102,2012,0.001534838
020502061102,2013,0.001642369
020502061102,2014,0.001470255
020502061102,2015,0.001476657
020502061102,2016,0.001553382
020502061102,2017,0.001442698
020502061102,2018,0.001252042
020502061102,2019,0.001430299
020502061102,2020,0.001397744
020502061103,2010,0.000385414
020502061103,2011,0.000362846
020502061103,2012,0.000388025
020502061103,2013,0.000380135
020502061103,2014,0.000375509
020502061103,2015,0.000373022
020502061103,2016,0.000388843
020502061103,2017,0.000346096
020502061103,2018,0.000304265
020502061103,2019,0.000343564
020502061103,2020,0.000352522
020502061201,2010,0.0
020502061201,2011,0.0
020502061201,2012,0.0
020502061201,2013,0.0
020502061201,2014,0.0
020502061201,2015,0.0
020502061201,2016,0.0
020502061201,2017,0.0
020502061201,2018,0.0
020502061201,2019,0.0
020502061201,2020,0.0
020502061202,2010,0.088345065
020502061202,2011,0.08222049
020502061202,2012,0.089512238
020502061202,2013,0.086806055
020502061202,2014,0.084509795
020502061202,2015,0.085063338
020502061202,2016,0.089996188
020502061202,2017,0.081349282
020502061202,2018,0.072188587
020502061202,2019,0.079859567
020502061202,2020,0.080837295
020502061203,2010,0.009373276
020502061203,2011,0.007715413
020502061203,2012,0.008877515
020502061203,2013,0.0086082
020502061203,2014,0.00856381
020502061203,2015,0.008489585
020502061203,2016,0.00883512
020502061203,2017,0.008021408
020502061203,2018,0.007000308
020502061203,2019,0.008228775
020502061203,2020,0.008063421
020502061204,2010,0.022087159
020502061204,2011,0.02079389
020502061204,2012,0.022236798
020502061204,2013,0.021784642
020502061204,2014,0.021519554
020502061204,2015,0.021377005
020502061204,2016,0.022283692
020502061204,2017,0.019833987
020502061204,2018,0.01743675
020502061204,2019,0.019688866
020502061204,2020,0.020202225
020502061205,2010,0.08007707
020502061205,2011,0.075388318
020502061205,2012,0.080619587
020502061205,2013,0.078980292
020502061205,2014,0.078019215
020502061205,2015,0.077502404
020502061205,2016,0.080789601
020502061205,2017,0.071908186
020502061205,2018,0.063216996
020502061205,2019,0.07138205
020502061205,2020,0.073243235
020502061206,2010,0.049184694
020502061206,2011,0.046304783
020502061206,2012,0.049517917
020502061206,2013,0.048511034
020502061206,2014,0.047920725
020502061206,2015,0.047603291
020502061206,2016,0.049622343
020502061206,2017,0.044167227
020502061206,2018,0.038828951
020502061206,2019,0.043844066
020502061206,2020,0.044987237
020502061207,2010,0.067999531
020502061207,2011,0.05781012
020502061207,2012,0.064162934
020502061207,2013,0.062100267
020502061207,2014,0.060683613
020502061207,2015,0.061008053
020502061207,2016,0.06502734
020502061207,2017,0.058482184
020502061207,2018,0.051846019
020502061207,2019,0.057272522
020502061207,2020,0.058551923
020503010101,2010,0.153245107
020503010101,2011,0.136598232
020503010101,2012,0.146662027
020503010101,2013,0.146547219
020503010101,2014,0.156219902
020503010101,2015,0.148369341
020503010101,2016,0.15660871
020503010101,2017,0.146291216
020503010101,2018,0.128858865
020503010101,2019,0.1417039
020503010101,2020,0.12875418
020503010102,2010,0.144866238
020503010102,2011,0.129129551
020503010102,2012,0.138643096
020503010102,2013,0.138534566
020503010102,2014,0.147678383
020503010102,2015,0.14025706
020503010102,2016,0.148045932
020503010102,2017,0.13829256
020503010102,2018,0.121813344
020503010102,2019,0.133956061
020503010102,2020,0.121714383
020503010103,2010,0.000232146
020503010103,2011,0.000184735
020503010103,2012,0.00020878
020503010103,2013,0.00020268
020503010103,2014,0.000203855
020503010103,2015,0.000201944
020503010103,2016,0.000218586
020503010103,2017,0.000201264
020503010103,2018,0.000179174
020503010103,2019,0.000194152
020503010103,2020,0.000188563
020503010104,2010,0.021832047
020503010104,2011,0.016094392
020503010104,2012,0.018862753
020503010104,2013,0.017947609
020503010104,2014,0.017281605
020503010104,2015,0.017677045
020503010104,2016,0.01948182
020503010104,2017,0.017755234
020503010104,2018,0.015926559
020503010104,2019,0.017076983
020503010104,2020,0.017359749
