huc12_id,year,pscutot_mgd
071200060903,2010,0.0
071200060903,2011,0.0
071200060903,2012,0.0
071200060903,2013,0.0
071200060903,2014,0.0
071200060903,2015,0.0
071200060903,2016,0.0
071200060903,2017,0.0
071200060903,2018,0.0
071200060903,2019,0.0
071200060903,2020,0.0
071200060907,2010,0.092941499
071200060907,2011,0.10119418
071200060907,2012,0.138017309
071200060907,2013,0.111241685
071200060907,2014,0.099440878
071200060907,2015,0.096249168
071200060907,2016,0.09467805
071200060907,2017,0.094596917
071200060907,2018,0.087001705
071200060907,2019,0.084565551
071200060907,2020,0.093524882
071200061001,2010,0.010513281
071200061001,2011,0.013303203
071200061001,2012,0.016464322
071200061001,2013,0.014394072
071200061001,2014,0.011512868
071200061001,2015,0.011415007
071200061001,2016,0.011459414
071200061001,2017,0.011158983
071200061001,2018,0.009367502
071200061001,2019,0.009221064
071200061001,2020,0.009934853
071200061002,2010,0.033960507
071200061002,2011,0.04297265
071200061002,2012,0.053183849
071200061002,2013,0.046496428
071200061002,2014,0.037189424
071200061002,2015,0.036873309
071200061002,2016,0.037016754
071200061002,2017,0.036046286
071200061002,2018,0.030259358
071200061002,2019,0.029786326
071200061002,2020,0.032092041
071200061003,2010,0.006931723
071200061003,2011,0.008014086
071200061003,2012,0.010486899
071200061003,2013,0.008757788
071200061003,2014,0.007457528
071200061003,2015,0.007291
071200061003,2016,0.007242339
071200061003,2017,0.007147915
071200061003,2018,0.006325715
071200061003,2019,0.006171596
071200061003,2020,0.006744005
071200061005,2010,0.186442649
071200061005,2011,0.201538283
071200061005,2012,0.275632779
071200061005,2013,0.22315673
071200061005,2014,0.200359472
071200061005,2015,0.193493972
071200061005,2016,0.190608562
071200061005,2017,0.189500691
071200061005,2018,0.174551173
071200061005,2019,0.168998446
071200061005,2020,0.185386189
071200061006,2010,0.107296949
071200061006,2011,0.116351454
071200061006,2012,0.158857564
071200061006,2013,0.128004419
071200061006,2014,0.114473843
071200061006,2015,0.110795344
071200061006,2016,0.109033748
071200061006,2017,0.108866801
071200061006,2018,0.100130981
071200061006,2019,0.097266489
071200061006,2020,0.107468255
