huc12_id,year,incrunoff_mm/mo,incbsflow_mm/mo,soilmstfr_frac
050302020701,2010,16.538646044,0.654741661,0.541794691
050302020701,2011,31.150827032,1.120220999,0.584237172
050302020701,2012,11.757408914,0.391198931,0.527422577
050302020701,2013,21.099472359,0.716766525,0.588032142
050302020701,2014,24.172446642,0.933862191,0.601630763
050302020701,2015,30.021407121,0.967544783,0.572419779
050302020701,2016,15.755776962,0.53002306,0.528130093
050302020701,2017,16.018622305,0.578415683,0.54245373
050302020701,2018,34.957653988,0.966568154,0.615981728
050302020701,2019,28.6144951,1.353162753,0.587382479
050302020702,2010,21.938769878,5.123151324,0.656078517
050302020702,2011,37.872887722,5.629137676,0.712208765
050302020702,2012,17.180106732,5.055088658,0.649671315
050302020702,2013,27.293040145,5.077652819,0.713412932
050302020702,2014,31.908478678,5.414512364,0.725783436
050302020702,2015,35.788728716,5.278929784,0.696169053
050302020702,2016,23.139816446,4.511145566,0.673331888
050302020702,2017,20.638959358,4.014749406,0.685097136
050302020702,2018,42.888618318,4.536077479,0.733790092
050302020702,2019,35.31023677,6.236247073,0.685438453
050302020703,2010,22.544033393,1.782759671,0.58934086
050302020703,2011,36.185684628,2.742821802,0.627402699
050302020703,2012,14.898858191,1.116621778,0.58466555
050302020703,2013,25.425381675,1.716321028,0.64193969
050302020703,2014,30.488451428,2.185848819,0.642804349
050302020703,2015,34.901327281,2.146538628,0.622832909
050302020703,2016,19.868174434,1.345191176,0.585975503
050302020703,2017,20.935274546,1.428521431,0.59756122
050302020703,2018,41.257282942,2.24761679,0.660967789
050302020703,2019,35.030791899,3.051391108,0.617749333
050302020704,2010,19.774641419,5.152826862,0.643916343
050302020704,2011,35.294747652,5.661543142,0.698997803
050302020704,2012,15.61561735,5.065071943,0.632925889
050302020704,2013,23.939747258,5.059277811,0.692904122
050302020704,2014,30.263048476,5.454028887,0.711560626
050302020704,2015,31.646153462,5.298943912,0.680656857
050302020704,2016,23.009652308,4.541396739,0.662944337
050302020704,2017,18.097015965,4.030649573,0.669011318
050302020704,2018,39.423906863,4.554990896,0.718000557
050302020704,2019,33.18712136,6.261647491,0.66869191
050302020705,2010,17.200602476,1.094534322,0.657176539
050302020705,2011,38.69992025,2.400805987,0.705560649
050302020705,2012,14.791341334,1.128189393,0.651447143
050302020705,2013,26.388250299,1.656361898,0.698378481
050302020705,2014,27.581197232,1.76972895,0.71741425
050302020705,2015,30.410548851,1.697268203,0.694529333
050302020705,2016,22.273417648,1.388545395,0.665504345
050302020705,2017,16.769094032,1.150729776,0.681169504
050302020705,2018,45.052531241,2.165935172,0.709615552
050302020705,2019,34.30725112,2.66263464,0.67933556
050302020706,2010,21.870453818,2.310463916,0.639747326
050302020706,2011,38.640152901,2.531906611,0.682711141
050302020706,2012,17.143582309,2.254557498,0.636960849
050302020706,2013,25.350539513,2.38978484,0.683798245
050302020706,2014,32.860509965,2.54704614,0.701922629
050302020706,2015,38.612382923,2.463210189,0.680158158
050302020706,2016,24.096504337,2.136661777,0.657030923
050302020706,2017,20.224660935,1.920782422,0.666558807
050302020706,2018,45.848057117,2.244744967,0.709705273
050302020706,2019,38.08064167,2.848377876,0.666148203
050302020802,2010,30.163772141,7.570421415,0.555643304
050302020802,2011,53.450939475,13.229945325,0.589798197
050302020802,2012,25.50159166,6.287377003,0.518437811
050302020802,2013,29.424265593,8.189980667,0.578126743
050302020802,2014,42.912543124,11.748190064,0.629131268
050302020802,2015,46.912142874,12.872766654,0.584958058
050302020802,2016,38.479617016,9.893170641,0.57057169
